date,values,realtime_start,realtime_end,state,id,title,frequency_short,units_short,seasonal_adjustment_short
2013-10-01,36.15,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2013-11-01,36.75,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2013-12-01,36.45,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-01-01,34.49,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-02-01,34.51,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-03-01,33.39,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-04-01,35.62,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-05-01,36.56,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-06-01,36.07,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-07-01,33.24,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-08-01,34.21,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-09-01,34.48,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-10-01,36.15,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-11-01,35.38,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2014-12-01,35.66,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-01-01,30.93,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-02-01,30.6,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-03-01,31.6,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-04-01,36.26,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-05-01,35.57,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-06-01,35.51,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-07-01,34.62,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
2015-08-01,35.39,2023-01-21,2023-01-21,Alaska,SMU02000000600000003,Average Hourly Earnings of All Employees: Goods Producing in Alaska,M,$ per Hour,NSA
