realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,2012-01-01,46128.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2013-01-01,45872.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2014-01-01,51461.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2015-01-01,48944.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2016-01-01,51830.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2017-01-01,54988.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2018-01-01,53712.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2019-01-01,57799.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2020-01-01,53148.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2021-01-01,50784.0,MEHOINUSARA672N,"Real Median Household Income in Arkansas",Arkansas,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1984-01-01,53362.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1985-01-01,57495.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1986-01-01,60347.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1987-01-01,61198.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1988-01-01,58371.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1989-01-01,60404.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1990-01-01,58921.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1991-01-01,59796.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1992-01-01,55727.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1993-01-01,56490.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1994-01-01,56754.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1995-01-01,54658.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1996-01-01,54575.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1997-01-01,55283.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1998-01-01,61791.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1999-01-01,60348.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2000-01-01,62766.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2001-01-01,65509.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2002-01-01,60007.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2003-01-01,60789.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2004-01-01,63043.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2005-01-01,62924.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2006-01-01,62850.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2007-01-01,61848.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2008-01-01,59180.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2009-01-01,57899.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2010-01-01,58400.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2011-01-01,58698.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2012-01-01,55616.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2013-01-01,61290.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2014-01-01,56424.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2015-01-01,59751.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2016-01-01,64468.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2017-01-01,65984.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2018-01-01,67201.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2019-01-01,74897.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2020-01-01,70220.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,2021-01-01,70821.0,MEHOINUSAZA672N,"Real Median Household Income in Arizona",Arizona,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1984-01-01,62981.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1985-01-01,64969.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1986-01-01,68654.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1987-01-01,68969.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1988-01-01,66876.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1989-01-01,69833.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1990-01-01,67118.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1991-01-01,65490.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1992-01-01,66253.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1993-01-01,63086.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1994-01-01,64078.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
2023-01-20,2023-01-20,1995-01-01,65542.0,MEHOINUSCAA672N,"Real Median Household Income in California",California,A,"2021 CPI-U-RS Adjusted $",NSA
