realtime_start,realtime_end,date,value,id,title,state,frequency_short,units_short,"seasonal_adjustment_short"
2023-01-20,2023-01-20,1987-05-01,10.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-06-01,10.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-07-01,8.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-08-01,8.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-09-01,8.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-10-01,9.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-11-01,9.7,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1987-12-01,9.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-01-01,10.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-02-01,10.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-03-01,10.2,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-04-01,9.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-05-01,9.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-06-01,8.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-07-01,7.4,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-08-01,7.3,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-09-01,7.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-10-01,7.8,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-11-01,8.5,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1988-12-01,8.1,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1989-01-01,9.0,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1989-02-01,8.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1989-03-01,7.9,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
2023-01-20,2023-01-20,1989-04-01,7.6,AKURN,"Unemployment Rate in Alaska",Alaska,M,"%",NSA
